WorkerId,na.pct,n,implausible,plausible,Answer.English,Answer.country,Answer.proficiency1,Answer.proficiency2,WorkTimeInSeconds,Answer.answer,HITId,AssignmentStatus,AssignmentId,filler.left,filler.right,diff
A002160837SWJFPIAI7L7,0,54,1.75,7,yes,USA,"When I was younger, I would go to school and enjoy being in math class.","It's raining tomorrow, so I will wear an umbrella.",844,{},39O6Z4JLX2XDMZD8VSIHO89Y5PTVXI,Approved,3SKEMFQBZ35BD7GHEIXJVKCAJXK8KU,7,5,5.25
A107RJSS561Y7R,0,54,1,6,yes,USA,"When I was younger, I would go to school and learn new things for the day.","It's raining tomorrow, so I will stay indoors.",2993,{},3NKW03WTLM76SRC1ZOSLG2WJFV8QWQ,Approved,3SBEHTYCWN3ZMIHBRJA1HHLZK8YIY7,7,1,5
A10DLQ5TBK6ANZ,0,54,4.6,4.2,yes,USA,"When I was younger, I would go to school and and the joyfull","It's raining tomorrow, so  so effectively while camping out this way as ... as with us , I think perhaps it can be arranged so that you can",334,Good,3EAWOID6MTX5P97XSGTAFUMNVI90VT,Approved,3L4D84MILZS9VYBSZ1RD7I5W7RAJHL,7,1,-0.4
A10T0161B70BXP,0.018518519,54,1.375,6.125,yes,USA,"When I was younger, I would go to school and learn new things from my teachers.","It's raining tomorrow, so we're going to stay inside instead.",653,{},3O0M2G5VC62ORQCV8GBGZFN3L26942,Approved,39N5ACM9HENC23W7W285RXTKXD89PL,7,1,4.75
A11FFJZ0C984W4,0,54,1.125,7,yes,USA,"When I was younger, I would go to school and listen to what the teacher said.","It's raining tomorrow, so I will stay home and read a book.",2386,{},3ZG552ORAM4CLJAB73XOYIF2SGSV27,Approved,3M0NZ3JDP1YNFKW1GLTQ6FQWLGW5ZB,6,1,5.875
A11W55U13HODN1,0,54,1.5,5.375,yes,USA,"When I was younger, I would go to school and work my butt off.","It's raining tomorrow, so I'll take the day off.",1987,{},35XW21VSVGE2UDFFNEAO2RU4ZCPLSH,Approved,3DR23U6WE5ERPRGVLUXBOLVSDDATEL,7,5,3.875
A11YS0T8MV3Q7C,0,54,1.125,5.875,yes,USA,"When I was younger, I would go to school and learn more than one subject.","It's raining tomorrow, so I need to make sure my windows are closed.",1052,Great experiment!,37AQKJ12TXORSQ0ZLNH5YN07V8PTTH,Approved,326O153BMIYK82KYZ4XWJHD6ARNDEN,7,1,4.75
A122LRCSBAD6DC,0,54,1.875,6.75,yes,USA,"When I was younger, I would go to school and complete my assignments in class.","It's raining tomorrow, so I will bring an umbrella with me.",1689,{},3D17ECOUOEVLKPQW4PR4A4DE9QM130,Approved,39KFRKBFINV9I4SEPEN61EHLWHXOY8,5,1,4.875
A12FTSX85NQ8N9,0,54,1,6.3,yes,USA,"When I was younger, I would go to school and play for as long as I could at recess.","It's raining tomorrow, so remember to bring an umbrella.",932,{},3OLZC0DJ8JFGW4ODW6IGLYMJHCPVII,Approved,39OWYR0EPKRFCRFLQB4GEK874G6FYD,7,1,5.3
A12HWPFXQPITHD,0,54,1.875,5.5,yes,USA,"When I was younger, I would go to school and learn with my friends.","It's raining tomorrow, so I'll use an umbrella.",2473,{},3BJKPTD2QCCECBN7HYCAY8ZP7NSTR4,Approved,3HRMW88U16QOL6BH4QXKHIYWP45M0S,7,1,3.625
A12VDN3TJJCAQQ,0,54,1,7,yes,USA,"When I was younger, I would go to school and wait for recess","It's raining tomorrow, so I will stay in and work",3516,{},3SD15I2WD2UGRBRTAV3L504VH12360,Approved,3JV9LGBJWTE9WD7EV810UEAHRL7GO2,7,1,6
A13GUTDMGGZZDL,0,54,1.25,5.5,yes,USA,"When I was younger, I would go to school and study all day.","It's raining tomorrow, so I will drive my car instead of riding my bike.",1537,{},31GECDVA9JMFOUEBTX1JC3GFRS4669,Approved,3K9FOBBF2HJ70KL35KY3SHFKXSOLNY,6,1,4.25
A13LKWKNDRONU7,0,54,1.8,5.7,yes,USA,"When I was younger, I would go to school and I developed my artistic skill and learned a lot.","It's raining tomorrow, so all the school will be closed I think",1602,It was a knowledgeable one.,3IHWR4LC7DDILSS0OD76TK2B6EP8IR,Approved,3V26SBZTBDELMYGQN906VJXRMF4ZZC,7,1,3.9
A13WYXTOERACDD,0,54,5.875,5.875,yes,USA,"When I was younger, I would go to school and playground","It's raining tomorrow, so i go to rest",287,nice,3ICOHX7ENCBONYLBXQ40FQY1VN60EN,Approved,3ZPPDN2SLVW85C7HNOSUXLUGJ669E0,7,1,0
A14EYTLSMJRPUK,0,54,1,6.6,yes,USA,"When I was younger, I would go to school and talk to my friends.","It's raining tomorrow, so I think I will stay inside.",1455,{},3W3RSPVVGSRI9Q7JCJ5OHSCSK9ALUX,Approved,3VA45EW49NNCSYHBDPGXNR6BPWOO1A,7,1,5.6
A157DWY9SATKXQ,0.018518519,54,4,4.125,yes,USA,"When I was younger, I would go to school and i went to home","It's raining tomorrow, so It Is Going To Rain Tomorrow",3206,good,3THR0FZ95PTNWLNMGXTFIMK32NMOLN,Approved,3AWETUDC92SZR8RGN5CKVOU1Q22IZY,4,2,0.125
A15LHHN76OW2UM,0.055555556,54,1,5.5,,,"When I was younger, I would go to school and stick to myself.","It's raining tomorrow, so I will stay indoors.",1484,{},3T2EL38U0MKLHRHR9TO7ILAQOXEQXJ,Approved,3AQF3RZ558IDT75FKS9OVTOE56D6F4,7,1,4.5
A15T9HDPHV3X7Q,0,54,1.125,6.875,yes,USA,"When I was younger, I would go to school and study very hard","It's raining tomorrow, so I will bring my umbrella",685,{},3DZKABX2ZI5PJ12D4WMUAVOO475VCG,Approved,3T111IHZ5EQXEGCM9UCUWSTZYVXR9W,7,1,5.75
A166A2M31CW2C7,0,54,1.375,5.375,yes,USA,"When I was younger, I would go to school and talk to friends.","It's raining tomorrow, so I'm going to stay in.",543,{},3Z8UJEJOCZD39UTR826XPAVX72A93H,Approved,3BDCF01OGXU1CJPHCM7E9XDR1CSLYO,3,1,4
A16UAN46CNIRHY,0,54,1.125,6.625,yes,USA,"When I was younger, I would go to school and play with my friends.","It's raining tomorrow, so I will make sure to carry my umbrella.",1401,{},31KPKEKW4ADQGV9RNZ2AEISGSQT0BN,Approved,3GNCZX450INQ7M6CO8M5NS443VQAP1,7,1,5.5
A16Z9FSSF1X74O,0,54,1.75,6.5,yes,USA,"When I was younger, I would go to school and always wanted to sit at the front of the class.","It's raining tomorrow, so I will stay inside and clean the house.",3175,"Thank you, and have a nice day!",3WRKFXQBOB7X0YJI1H50SXQDZTRIYE,Approved,3WQ3B2KGE8GS94S29KBBH76CIX51BJ,7,1,4.75
A171RZ3O028XF6,0,54,1.75,5.375,yes,USA,"When I was younger, I would go to school and learn about multiple subjects that were interesting to me.","It's raining tomorrow, so I am going to wear a raincoat and bring my umbrella.",823,Red Forest,38B7Q9C28G526DG9R44VWD7HHTC96N,Approved,3NPI0JQDAO5VMI5LU8DMIXUWRKBPT1,7,1,3.625
A173A97OFDAX9F,0,54,1.6,7,yes,USA,"When I was younger, I would go to school and have lunch with my friends","It's raining tomorrow, so we should cancel the traveling plan",445,"nope, thanks",3UUIU9GZC55P7OP9KRZ7V7UTF53T5Q,Approved,3VA45EW49NNCSYHBDPGXNR6BPWO1ON,7,1,5.4
A179M1VP5QMHNW,0,54,4.1,4.8,yes,USA,"When I was younger, I would go to school and learn study and i would playin the games in childhood age.i would like to the chocalateand many snakes items in my child hood age after i would complete to my school life enter college level study.i will select to good major and achive my job target my futrue.","It's raining tomorrow, so avoided to go outside and then safe our houses inside.avoide to the cold food and icecreams children.prevention procedudre take in before the rain.",2120,good,3DWNFENNE3VDX2P4US2TO916H7HJ46,Approved,320DUZ38G7MVV2GHFV9VMITVSRXJGM,7,1,0.7
A18SXC3JEN1O0U,0,54,1.375,6.875,yes,USA,"When I was younger, I would go to school and listen to my lessons.","It's raining tomorrow, so I'll stay at home.",512,{},3UY4PIS8QRLSOTJ6M8BJJIBKE7D1NG,Approved,3DIP6YHAPCS8R7O7IWMGXPZ5Z0OE8G,7,1,5.5
A18XFOKU5G1OL1,0,54,3.125,5.25,yes,USA,"When I was younger, I would go to school and learn new things.","It's raining tomorrow, so dad is off early.",2577,{},3AQN9REUTFGGSN3W934P10A07OJYDS,Approved,3NPI0JQDAO5VMI5LU8DMIXUWRKBTP5,7,1,2.125
A198MSVO1VTAT5,0,54,1,6.8,yes,USA,"When I was younger, I would go to school and study for my tests so that I would get an A.","It's raining tomorrow, so we won't be going on the field trip.",3190,{},3P458N04Q1H4P8F67IY6M3CN8R12XI,Approved,36V4Q8R5ZK0C9ZGGLORZWOPE280QMR,7,1,5.8
A19HMCT6V15WRU,0,54,4,5,yes,USA,"When I was younger, I would go to school and study with friends","It's raining tomorrow, so i wont go to office",269,{},3NI0WFPPI9GKAJSWR8L2326OEPI608,Approved,3NKQQ8O39Y51XYHKP4C1NZZ9WFFDU2,7,1,1
A19LJABXVNJTOB,0,54,4.6,4.9,yes,USA,"When I was younger, I would go to school and learning","It's raining tomorrow, so don't went outing",862,nice,31ODACBENUFDLAVSFJIKJDTY9ICQSB,Approved,3GDTJDAPVUB63VGKZUAZAX4E82F8MZ,7,1,0.3
A1AYQ8E01NSY5Z,0,54,4.75,6.25,yes,USA,"When I was younger, I would go to school and also visit my close friends.","It's raining tomorrow, so I decided to do my laundry today.",2322,This is an interesting study.,3OYHVNTV5TYCCF54VXHE3M7ODNHOKK,Approved,3HPZF4IVNMT89FVBZ9EF6EN473EYCL,7,1,1.5
A1BOOZ7XOIIKJE,0,54,5.7,5.9,yes,USA,"When I was younger, I would go to school and study with friends","It's raining tomorrow, so i wont go outside",520,{},388FBO7JZRTPEZU9YXISX5MULSLNYZ,Approved,3S0TNUHWKTI3Z1A7M1BWR7HKZOND8M,7,1,0.2
A1C5T9VNTCXU44,0,54,1.1,7,yes,UK,"When I was younger, I would go to school and pay close attention to the teachers","It's raining tomorrow, so I need to remember an umbrella",3264,{},3KLL7H3EGD1G09DTQO0VLML4HZAVHP,Approved,33FBRBDW6OZTU94TM5GL71Z2EOB8CH,7,1,5.9
