"","WorkerId","HITId","num_questions","num_missed","ratio_missed","native_english","country_usa","filler1","filler2","fillers_correct"
"1","A002160837SWJFPIAI7L7","39O6Z4JLX2XDMZD8VSIHO89Y5PTVXI",54,0,0,TRUE,TRUE,1,7,TRUE
"2","A107RJSS561Y7R","3NKW03WTLM76SRC1ZOSLG2WJFV8QWQ",54,0,0,TRUE,TRUE,1,7,TRUE
"3","A10DLQ5TBK6ANZ","3EAWOID6MTX5P97XSGTAFUMNVI90VT",54,0,0,TRUE,TRUE,1,7,TRUE
"4","A10T0161B70BXP","3O0M2G5VC62ORQCV8GBGZFN3L26942",54,1,0.0185185185185185,TRUE,TRUE,1,7,TRUE
"5","A11FFJZ0C984W4","3ZG552ORAM4CLJAB73XOYIF2SGSV27",54,0,0,TRUE,TRUE,1,7,TRUE
"6","A11FFJZ0C984W4","31HLTCK4BLV20DII6IID0M931X8GVH",54,0,0,TRUE,TRUE,1,7,TRUE
"7","A11W55U13HODN1","35XW21VSVGE2UDFFNEAO2RU4ZCPLSH",54,0,0,TRUE,TRUE,1,7,TRUE
"8","A11YS0T8MV3Q7C","37AQKJ12TXORSQ0ZLNH5YN07V8PTTH",54,0,0,TRUE,TRUE,1,7,TRUE
"9","A11YS0T8MV3Q7C","3I7KR83SNAD95S1YT8YW6WCZHM6K98",54,1,0.0185185185185185,TRUE,TRUE,1,7,TRUE
"10","A122LRCSBAD6DC","3D17ECOUOEVLKPQW4PR4A4DE9QM130",54,0,0,TRUE,TRUE,1,7,TRUE
"11","A122LRCSBAD6DC","3CVDZS288H0DWQSEH6B4V5QE9PWMF7",54,0,0,TRUE,TRUE,1,7,TRUE
"12","A12FTSX85NQ8N9","3OLZC0DJ8JFGW4ODW6IGLYMJHCPVII",54,0,0,TRUE,TRUE,1,7,TRUE
"13","A12FTSX85NQ8N9","3PR3LXCWSFZFPS05SRDLWQK1DVL9XM",54,0,0,TRUE,TRUE,1,7,TRUE
"14","A12FTSX85NQ8N9","3ZRKL6Z1E83M8L1ECND8PZPW2TESGO",54,0,0,TRUE,TRUE,1,7,TRUE
"15","A12HWPFXQPITHD","3BJKPTD2QCCECBN7HYCAY8ZP7NSTR4",54,0,0,TRUE,TRUE,1,7,TRUE
"16","A12VDN3TJJCAQQ","3SD15I2WD2UGRBRTAV3L504VH12360",54,0,0,TRUE,TRUE,1,7,TRUE
"17","A13GUTDMGGZZDL","31GECDVA9JMFOUEBTX1JC3GFRS4669",54,0,0,TRUE,TRUE,1,7,TRUE
"18","A13GUTDMGGZZDL","3G9UA71JVVUAGP7NWQ00RLLG77I7JK",54,0,0,TRUE,TRUE,2,7,FALSE
"19","A13LKWKNDRONU7","3IHWR4LC7DDILSS0OD76TK2B6EP8IR",54,0,0,TRUE,TRUE,1,7,TRUE
"20","A13WYXTOERACDD","3ICOHX7ENCBONYLBXQ40FQY1VN60EN",54,0,0,TRUE,TRUE,7,1,FALSE
"21","A14EYTLSMJRPUK","3W3RSPVVGSRI9Q7JCJ5OHSCSK9ALUX",54,0,0,TRUE,TRUE,1,7,TRUE
"22","A157DWY9SATKXQ","3THR0FZ95PTNWLNMGXTFIMK32NMOLN",54,1,0.0185185185185185,TRUE,TRUE,3,6,FALSE
