"","WorkerId","HITId","num_questions","num_missed","ratio_missed","native_english","country_usa","filler1","filler2","fillers_correct"
"1","A27VFM67RPD2L5","3ECKRY5B1QWX5OTNX37J64ZF3XEZIN",42,0,0,TRUE,TRUE,1,7,TRUE
"2","A2M5OXOREG5HYY","33TGB4G0LPHY979JQXI2NQLD6EWTX1",42,0,0,TRUE,TRUE,1,7,TRUE
"3","A2R1A479K07ME5","3TZ0XG8CBUKPARZXKJ1TGR38LYL899",42,1,0.0238095238095238,TRUE,TRUE,6,6,FALSE
"4","A3F3A89U4ZXJJD","3MVY4USGB6N04C792BDBAB2CGIEIS1",42,0,0,TRUE,TRUE,1,7,TRUE
"5","A147F5PJTHOB8A","3TTPFEFXCTKVLJYSPGSN9U55YG4H6N",42,0,0,TRUE,TRUE,1,7,TRUE
"6","A1945USNZHTROX","3RQVKZ7ZRKJAAT9FP5U8S4ZZ48627P",42,0,0,TRUE,TRUE,1,7,TRUE
"7","A1B1Y6OBCA7XTZ","3TC2K6WK9G2EA7EYZAME64VUFSC28C",42,0,0,TRUE,TRUE,1,7,TRUE
"8","A1B5SSGMTAQ9B5","3WKGUBL7SZMJSSD4XDE64OEYJ674LW",42,1,0.0238095238095238,TRUE,TRUE,1,7,TRUE
"9","A1BNYBF79IQ89T","3WKGUBL7SZMJSSD4XDE64OEYJ674LW",42,0,0,TRUE,TRUE,1,7,TRUE
"10","A1F3XD5WEK7H7E","3WKGUBL7SZMJSSD4XDE64OEYJ674LW",42,0,0,TRUE,TRUE,1,7,TRUE
"11","A1F9KLZGHE9DTA","3WKGUBL7SZMJSSD4XDE64OEYJ674LW",42,0,0,TRUE,TRUE,1,7,TRUE
"12","A1KS9LITOVPAT8","3RQVKZ7ZRKJAAT9FP5U8S4ZZ48627P",42,0,0,TRUE,TRUE,1,7,TRUE
"13","A1LTJHPUTL7WM9","3TC2K6WK9G2EA7EYZAME64VUFSC28C",42,0,0,TRUE,TRUE,1,7,TRUE
"14","A1M682B2WUSYJP","3WKGUBL7SZMJSSD4XDE64OEYJ674LW",42,1,0.0238095238095238,TRUE,TRUE,1,7,TRUE
"15","A1P6OXEJ86HQRM","3RQVKZ7ZRKJAAT9FP5U8S4ZZ48627P",42,0,0,TRUE,TRUE,1,7,TRUE
"16","A1SISJL5ST2PWH","3TC2K6WK9G2EA7EYZAME64VUFSC28C",42,0,0,TRUE,TRUE,1,7,TRUE
"17","A1VR1XQEQQXYUE","3WKGUBL7SZMJSSD4XDE64OEYJ674LW",42,1,0.0238095238095238,TRUE,TRUE,1,7,TRUE
"18","A1WS9UHL45VZ0X","3RQVKZ7ZRKJAAT9FP5U8S4ZZ48627P",42,0,0,TRUE,TRUE,1,7,TRUE
"19","A1XVEKS9O73ERE","3TC2K6WK9G2EA7EYZAME64VUFSC28C",42,0,0,TRUE,TRUE,1,7,TRUE
"20","A1Z26KLD8VFYUD","3WKGUBL7SZMJSSD4XDE64OEYJ674LW",42,0,0,TRUE,TRUE,1,7,TRUE
"21","A23KAJRDVCVGOE","3TTPFEFXCTKVLJYSPGSN9U55YG4H6N",42,0,0,TRUE,TRUE,1,7,TRUE
"22","A248QG4DPULP46","3TC2K6WK9G2EA7EYZAME64VUFSC28C",42,0,0,TRUE,TRUE,1,7,TRUE
"23","A2541C8MY0BYV3","3TTPFEFXCTKVLJYSPGSN9U55YG4H6N",42,0,0,TRUE,TRUE,1,7,TRUE
"24","A2E0LU8V4EUX5C","3RQVKZ7ZRKJAAT9FP5U8S4ZZ48627P",42,1,0.0238095238095238,TRUE,TRUE,1,7,TRUE
"25","A2EI9E6EBZEZO1","3TTPFEFXCTKVLJYSPGSN9U55YG4H6N",42,0,0,TRUE,TRUE,1,7,TRUE
"26","A2FGKKWP33DFWS","3TC2K6WK9G2EA7EYZAME64VUFSC28C",42,0,0,TRUE,TRUE,1,7,TRUE
"27","A2JDYN6QM8M5UN","3TC2K6WK9G2EA7EYZAME64VUFSC28C",42,0,0,TRUE,TRUE,1,7,TRUE
"28","A2XQ3CFB5HT2ZQ","3RQVKZ7ZRKJAAT9FP5U8S4ZZ48627P",42,0,0,TRUE,TRUE,1,7,TRUE
"29","A2Y6K5DW6G7H0T","3TTPFEFXCTKVLJYSPGSN9U55YG4H6N",42,0,0,TRUE,TRUE,1,7,TRUE
"30","A30HUZHJBOX1LK","3RQVKZ7ZRKJAAT9FP5U8S4ZZ48627P",42,0,0,TRUE,TRUE,1,7,TRUE
"31","A3908297ZI3LES","3TC2K6WK9G2EA7EYZAME64VUFSC28C",42,0,0,TRUE,TRUE,1,7,TRUE
"32","A3FOKP72T5I4FR","3WKGUBL7SZMJSSD4XDE64OEYJ674LW",42,0,0,TRUE,TRUE,1,7,TRUE
"33","A3K9GTQBOI7O5A","3WKGUBL7SZMJSSD4XDE64OEYJ674LW",42,0,0,TRUE,TRUE,1,7,TRUE
"34","A3PLWSCPFLCEGI","3TTPFEFXCTKVLJYSPGSN9U55YG4H6N",42,0,0,TRUE,TRUE,1,7,TRUE
"35","A3UPZ88FI1EJC","3RQVKZ7ZRKJAAT9FP5U8S4ZZ48627P",42,0,0,TRUE,TRUE,1,7,TRUE
"36","A8028AFBBS29G","3RQVKZ7ZRKJAAT9FP5U8S4ZZ48627P",42,1,0.0238095238095238,TRUE,TRUE,1,7,TRUE
"37","AFDC9A6Z60W2Z","3TTPFEFXCTKVLJYSPGSN9U55YG4H6N",42,0,0,TRUE,TRUE,1,7,TRUE
"38","AQMJMYR9MANOG","3TC2K6WK9G2EA7EYZAME64VUFSC28C",42,0,0,TRUE,TRUE,1,7,TRUE
